date,morning book,morning start chapter,morning start verse,morning end chapter,morning end verse,evening book,evening start chapter,evening start verse,evening end chapter,evening end verse
14/01/2018,Genesis,17,15,18,15,Psalm,8,1,8,9
21/01/2018,Genesis,18,16,19,20,Genesis,1,24,1,31
28/01/2018,Genesis,21,1,22,24,Genesis,1,26,1,28
04/02/2018,Genesis,24,1,24,67,Ephesians,5,22,5,33
11/02/2018,Acts,8,26,8,40,,,,,
18/02/2018,Acts,6,8,8,1,Galatians,5,1,5,12
25/02/2018,Acts,8,1,8,25,Galatians,5,13,5,18
04/03/2018,Acts,9,1,9,31,Galatians,5,16,5,26
11/03/2018,Acts,9,32,11,18,Galatians,6,1,6,10
18/03/2018,Acts,11,19,11,30,Galatians,6,11,6,18
25/03/2018,Acts,12,1,12,14,Psalm,22,1,22,21
01/04/2018,,,,,,Psalm,22,22,22,31
08/04/2018,Psalm,16,1,16,11,Psalm,23,1,23,6
15/04/2018,John,17,1,17,8,Deuteronomy,5,6,5,6
22/04/2018,John,17,9,17,19,Deuteronomy,5,7,5,7
29/04/2018,John,17,20,17,26,Deuteronomy,5,8,5,10
06/05/2018,1 Thessalonians,4,1,4,12,Deuteronomy,7,1,9,29
13/05/2018,1 Thessalonians,4,13,4,18,Deuteronomy,10,1,11,32
20/05/2018,1 Thessalonians,5,1,5,15,Deuteronomy,28,1,29,29
27/05/2018,1 Thessalonians,5,16,5,28,Deuteronomy,30,1,30,20
03/06/2018,Psalm,73,1,73,28,John,1,1,1,18
10/06/2018,Psalm,74,1,74,23,John,1,19,1,52
17/06/2018,Psalm,75,1,75,10,John,2,1,2,25
24/06/2018,Psalm,76,1,76,12,John,3,1,3,36
01/07/2018,Deuteronomy,6,1,6,25,John,4,1,4,54
08/07/2018,Deuteronomy,7,1,7,26,John,5,1,5,47
15/07/2018,Deuteronomy,8,1,8,20,John,6,1,6,40
22/07/2018,Deuteronomy,9,1,9,29,John,6,41,6,71
29/07/2018,Deuteronomy,10,1,11,32,John,7,1,7,52
05/08/2018,Genesis,5,1,6,8,John,8,12,8,59
12/08/2018,Genesis,6,9,7,24,John,9,1,9,41
19/08/2018,Genesis,8,1,8,19,John,10,1,10,42
26/08/2018,Genesis,8,20,9,29,John,11,1,11,54
02/09/2018,Deuteronomy,32,1,32,52,John,11,55,12,50
09/09/2018,,,,,,,,,,
16/09/2018,,,,,,,,,,
23/09/2018,,,,,,,,,,
30/09/2018,,,,,,,,,,
07/10/2018,,,,,,,,,,
14/10/2018,,,,,,,,,,
21/10/2018,,,,,,,,,,
28/10/2018,,,,,,,,,,
04/11/2018,,,,,,,,,,
11/11/2018,,,,,,,,,,
18/11/2018,,,,,,,,,,
25/11/2018,,,,,,,,,,
02/12/2018,,,,,,,,,,
09/12/2018,,,,,,,,,,
16/12/2018,,,,,,,,,,
23/12/2018,,,,,,,,,,
30/12/2018,,,,,,,,,,
